Identifier (RIC),Company Name,"Market Cap
(?=Avg)","1-day Price PCT Change
(?=Avg)","5-day Price PCT Change
(?=Avg)","4-week Price PCT Change
(?=Avg)","13-week Price PCT Change
(?=Avg)","26-week Price PCT Change
(?=Avg)","YTD Price PCT Change
(?=Avg)","52-week Price PCT Change
(?=Avg)","Price 52 Week High
(?=Avg)","Price 52 Week Low
(?=Avg)","Average Daily Volume - 10 Days
(?=Avg)","Average Daily Volume - 3 Months
(?=Avg)"
ITC.NS,ITC Ltd,"INR 25,37,21,23,66,394",-0.1%,-1.0%,-9.3%,2.6%,10.4%,-0.6%,17.3%,INR 239.20,INR 134.60,"2,33,02,450","3,82,55,344"
JSTL.NS,JSW Steel Ltd,"INR 9,58,18,80,83,570",-1.5%,-2.8%,-1.2%,10.7%,42.8%,3.7%,75.3%,INR 435.00,INR 132.50,"79,20,449","72,54,944"
KTKM.NS,Kotak Mahindra Bank Ltd,"INR 38,95,37,71,66,805",3.3%,7.3%,1.5%,7.9%,46.5%,-0.8%,25.4%,"INR 2,049.00","INR 1,001.00","49,86,369","44,18,502"
LART.NS,Larsen & Toubro Ltd,"INR 21,01,44,39,12,509",-0.5%,1.5%,-3.7%,28.8%,67.7%,17.1%,39.5%,"INR 1,593.00",INR 648.45,"32,66,280","46,98,680"
MAHM.NS,Mahindra and Mahindra Ltd,"INR 10,08,35,84,90,109",0.1%,-0.9%,-4.8%,13.0%,40.0%,18.2%,83.9%,INR 952.05,INR 245.40,"62,11,500","62,37,787"
MRTI.NS,Maruti Suzuki India Ltd,"INR 21,88,09,16,37,490",0.6%,1.2%,-4.3%,-5.9%,1.1%,-4.5%,17.7%,"INR 8,329.00","INR 4,001.10","13,64,554","11,19,224"
NEST.NS,Nestle India Ltd,"INR 16,17,48,53,95,057",0.3%,2.0%,-2.4%,-3.5%,4.9%,-8.0%,5.5%,"INR 18,844.00","INR 12,200.00","1,22,090","1,28,455"
NTPC.NS,NTPC Ltd,"INR 10,53,33,11,93,807",-0.9%,-2.7%,9.6%,11.5%,20.8%,10.2%,6.4%,INR 114.70,INR 73.20,"3,66,01,435","3,14,22,176"
ONGC.NS,Oil and Natural Gas Corporation Ltd,"INR 14,57,05,36,83,233",-1.3%,2.9%,15.6%,28.7%,56.8%,25.5%,56.6%,INR 122.35,INR 50.00,"4,27,38,947","3,84,87,183"
PGRD.NS,Power Grid Corporation of India Ltd,"INR 11,21,02,63,13,599",-1.9%,-4.0%,2.5%,12.7%,23.5%,13.8%,19.4%,INR 238.30,INR 122.15,"1,22,48,287","1,27,86,667"
RELI.NS,Reliance Industries Ltd,"INR 1,43,21,19,35,79,926",0.0%,4.0%,12.0%,9.9%,4.0%,10.4%,98.5%,"INR 2,369.35",INR 867.43,"1,06,84,151","1,22,74,098"
SBIL.NS,SBI Life Insurance Company Ltd,"INR 9,63,63,38,84,422",5.1%,10.5%,9.3%,13.8%,14.9%,7.4%,17.7%,INR 983.75,INR 519.40,"28,40,245","21,12,995"
SHCM.NS,Shree Cement Ltd,"INR 9,77,63,26,70,004",0.5%,-1.2%,-3.0%,10.2%,41.1%,13.7%,24.9%,"INR 29,090.00","INR 15,410.00","55,018","64,594"
SBI.NS,State Bank of India,"INR 34,31,63,80,42,883",-0.5%,-1.7%,-1.8%,42.6%,90.0%,41.0%,52.9%,INR 427.70,INR 149.45,"4,40,53,661","5,06,49,611"
SUN.NS,Sun Pharmaceutical Industries Ltd,"INR 14,58,13,00,49,930",-0.4%,-0.3%,-1.8%,7.7%,22.1%,3.4%,55.7%,INR 654.40,INR 312.00,"67,88,856","82,14,342"
TAMO.NS,Tata Motors Ltd,"INR 11,07,01,08,11,612",-1.9%,-8.8%,-3.0%,73.4%,121.5%,71.4%,198.2%,INR 357.00,INR 63.50,"7,91,37,433","10,48,81,545"
TISC.NS,Tata Steel Ltd,"INR 8,07,77,66,25,159",-4.1%,-3.9%,1.1%,15.2%,74.5%,9.8%,119.3%,INR 782.50,INR 250.85,"1,91,07,167","2,01,58,157"
TCS.NS,Tata Consultancy Services Ltd,"INR 1,11,95,76,66,27,773",1.5%,1.5%,-4.0%,9.1%,29.9%,6.6%,54.7%,"INR 3,339.80","INR 1,506.05","34,69,994","34,31,796"
TEML.NS,Tech Mahindra Ltd,"INR 9,48,84,65,74,863",2.0%,2.2%,1.3%,6.0%,33.9%,1.5%,42.9%,"INR 1,081.55",INR 462.61,"34,40,914","41,03,737"
TITN.NS,Titan Company Ltd,"INR 12,83,11,77,04,992",0.0%,-1.0%,-6.6%,2.0%,25.3%,-7.0%,21.1%,"INR 1,621.35",INR 720.90,"16,08,807","22,02,565"
ULTC.NS,UltraTech Cement Ltd,"INR 19,16,37,14,57,278",0.4%,4.3%,4.3%,28.4%,75.2%,26.6%,63.5%,"INR 6,944.20","INR 2,910.00","8,27,758","7,85,796"
UPLL.NS,UPL Ltd,"INR 4,73,65,06,15,254",-0.8%,6.0%,16.0%,32.2%,28.3%,34.0%,21.8%,INR 637.70,INR 240.15,"1,09,78,949","1,16,91,348"
WIPR.NS,Wipro Ltd,"INR 22,70,17,22,31,723",0.6%,-2.6%,-4.6%,15.3%,48.4%,8.5%,95.5%,INR 467.45,INR 159.40,"1,37,13,745","1,56,64,363"
